Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",32.512000,13.538200,0.000000,top
"C2","100nF","C_0603_1608Metric",26.416000,5.791200,180.000000,top
"C3","10uF","C_0603_1608Metric",11.684000,21.844000,-90.000000,top
"C4","10uF","C_0603_1608Metric",13.462000,21.844000,-90.000000,top
"C5","100nF","C_0402_1005Metric",16.510000,20.828000,180.000000,top
"C6","10uF","C_0805_2012Metric",29.845000,22.047200,180.000000,top
"C7","10uF","C_0805_2012Metric",29.845000,20.015200,180.000000,top
"C8","10uF","C_0805_2012Metric",29.845000,17.983200,180.000000,top
"C9","27nF","C_0402_1005Metric",15.875000,16.020500,90.000000,top
"C10","2.7 nF","C_0402_1005Metric",16.015000,11.049000,180.000000,top
"C11","120 nF","C_0402_1005Metric",13.503000,9.779000,180.000000,top
"D1","1N4148W","D_SOD-123",48.387000,10.541000,-90.000000,top
"D2","1N4148W","D_SOD-123",52.324000,10.541000,90.000000,top
"D3","B330A","D_SMA",27.940000,24.892000,180.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",5.461000,34.671000,-90.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",52.883000,29.377000,90.000000,top
"L1","5.6uH","L_Sunlord_MWSA0603S_8.4x3.5mm",18.796000,24.892000,0.000000,top
"Q1","2N7002","SOT-23",8.382000,11.811000,90.000000,top
"Q2","DMP2305U","SOT-23",8.382000,23.622000,0.000000,top
"Q3","2N7002","SOT-23",8.382000,19.431000,0.000000,top
"Q4","DMP2305U","SOT-23",41.783000,29.337000,0.000000,top
"Q5","2N7002","SOT-23",40.767000,15.047000,0.000000,top
"R1","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.131000,2.667000,0.000000,top
"R2","100k","R_0402_1005Metric",7.493000,8.991600,0.000000,top
"R3","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",48.768000,3.302000,0.000000,top
"R4","100k","R_0402_1005Metric",5.334000,21.844000,-90.000000,top
"R5","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",37.592000,25.146000,0.000000,top
"R6","87.6 k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",19.825000,6.350000,180.000000,top
"R7","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",38.862000,29.591000,90.000000,top
"R8","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",19.825000,7.620000,0.000000,top
"R9","87.6 k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",14.732000,15.964500,90.000000,top
"R10","1.27k","R_0402_1005Metric",16.015000,9.779000,180.000000,top
"RV1","100k","Potentiometer_Bourns_3386P_Vertical",41.006000,10.414000,180.000000,top
"U1","TLC555xD","SOIC-8_3.9x4.9mm_P1.27mm",31.242000,8.331200,-90.000000,top
"U2","TPS55340PWP","HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm_ThermalVias",20.574000,13.970000,-90.000000,top
